Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken,Name,Phase1_sub_taken,Phase1_sub_apply,Phase2A_sub_taken,Phase2A_sub_apply,Phase2B_sub_taken,Phase2B_sub_apply,Phase2C_sub_taken,Phase2C_sub_apply,After_Phase1_2A_vac,After_Phase2B_vac,After_Phase2C_vac,Phase2A_oversub,Phase2B_oversub,Phase2C_oversub,Phase2A_oversub_count,Phase2B_oversub_count,Phase2C_oversub_count
150,74,41,124,72,63,76,10,0,52,9,-,76,10,0,52,9,-,Unity Primary School,50.66666666666667,50.66666666666667,13.513513513513514,13.513513513513514,0.0,0.0,41.935483870967744,41.935483870967744,64,41,72,No,No,No,No,No,No
220,100,28,83,0,0,120,77,1,107,0,-,120,77,1,83,0,-,Waterway Primary School,54.54545454545454,54.54545454545454,77.0,77.0,3.571428571428571,3.571428571428571,100.0,128.91566265060243,23,27,0,No,No,Yes,No,No,24
180,79,20,58,0,0,101,81,4,105,0,-,101,79,4,58,0,-,Wellington Primary School,56.111111111111114,56.111111111111114,100.0,102.53164556962024,20.0,20.0,100.0,181.0344827586207,0,16,0,Yes,No,Yes,2,No,47
180,110,52,147,48,0,70,15,8,99,58,-,70,15,8,99,48,-,West Grove Primary School,38.88888888888889,38.88888888888889,13.636363636363635,13.636363636363635,15.384615384615385,15.384615384615385,67.3469387755102,67.3469387755102,95,44,48,No,No,No,No,No,No
180,57,20,62,0,0,123,72,0,106,0,-,123,57,0,62,0,-,West Spring Primary School,68.33333333333333,68.33333333333333,100.0,126.3157894736842,0.0,0.0,100.0,170.96774193548387,0,20,0,Yes,No,Yes,15,No,44
100,53,28,84,49,23,47,29,0,35,26,-,47,29,0,35,26,-,West View Primary School,47.0,47.0,54.71698113207547,54.71698113207547,0.0,0.0,41.66666666666667,41.66666666666667,24,28,49,No,No,No,No,No,No
180,74,20,49,0,0,106,103,11,80,0,-,106,74,11,49,0,-,Westwood Primary School,58.88888888888889,58.88888888888889,100.0,139.1891891891892,55.00000000000001,55.00000000000001,100.0,163.26530612244898,0,9,0,Yes,No,Yes,29,No,31
120,56,35,92,0,0,64,10,14,112,0,-,64,10,14,92,0,-,White Sands Primary School,53.333333333333336,53.333333333333336,17.857142857142858,17.857142857142858,40.0,40.0,100.0,121.73913043478262,46,21,0,No,No,Yes,No,No,20
120,34,25,71,0,0,87,18,5,104,0,-,87,18,5,71,0,-,Woodgrove Primary School,72.5,72.5,52.94117647058824,52.94117647058824,20.0,20.0,100.0,146.47887323943664,16,20,0,No,No,Yes,No,No,33
150,59,31,80,0,0,91,26,13,112,0,-,91,26,13,80,0,-,Woodlands Primary School,60.66666666666667,60.66666666666667,44.06779661016949,44.06779661016949,41.935483870967744,41.935483870967744,100.0,140.0,33,18,0,No,No,Yes,No,No,32
180,101,47,141,75,39,79,20,0,66,36,-,79,20,0,66,36,-,Woodlands Ring Primary School,43.888888888888886,43.888888888888886,19.801980198019802,19.801980198019802,0.0,0.0,46.808510638297875,46.808510638297875,81,47,75,No,No,No,No,No,No
220,181,77,232,197,158,39,10,0,35,39,-,39,10,0,35,39,-,Xinghua Primary School,17.727272727272727,17.727272727272727,5.524861878453039,5.524861878453039,0.0,0.0,15.086206896551724,15.086206896551724,171,77,197,No,No,No,No,No,No
240,153,63,187,123,90,87,25,1,64,33,-,87,25,1,64,33,-,Xingnan Primary School,36.25,36.25,16.33986928104575,16.33986928104575,1.5873015873015872,1.5873015873015872,34.22459893048128,34.22459893048128,128,62,123,No,No,No,No,No,No
150,72,24,50,0,0,79,60,32,78,0,-,79,60,24,50,0,-,Xinmin Primary School,52.666666666666664,52.666666666666664,83.33333333333334,83.33333333333334,100.0,133.33333333333331,100.0,156.0,12,0,0,No,Yes,Yes,No,8,28
130,61,37,110,51,0,69,10,1,59,76,-,69,10,1,59,51,-,Xishan Primary School,53.07692307692308,53.07692307692308,16.39344262295082,16.39344262295082,2.7027027027027026,2.7027027027027026,53.63636363636364,53.63636363636364,51,36,51,No,No,No,No,No,No
100,33,22,58,0,0,68,29,9,101,0,-,68,29,9,58,0,-,Yangzheng Primary School,68.0,68.0,87.87878787878788,87.87878787878788,40.909090909090914,40.909090909090914,100.0,174.13793103448276,4,13,0,No,No,Yes,No,No,43
150,83,46,138,78,46,67,4,1,60,32,-,67,4,1,60,32,-,Yew Tee Primary School,44.666666666666664,44.666666666666664,4.819277108433735,4.819277108433735,2.1739130434782608,2.1739130434782608,43.47826086956522,43.47826086956522,79,45,78,No,No,No,No,No,No
140,85,47,141,105,12,55,5,0,36,93,-,55,5,0,36,93,-,Yio Chu Kang Primary School,39.285714285714285,39.285714285714285,5.88235294117647,5.88235294117647,0.0,0.0,25.53191489361702,25.53191489361702,80,47,105,No,No,No,No,No,No
120,55,33,100,58,0,65,15,0,42,58,-,65,15,0,42,58,-,Yishun Primary School,54.166666666666664,54.166666666666664,27.27272727272727,27.27272727272727,0.0,0.0,42.0,42.0,40,33,58,No,No,No,No,No,No
120,42,20,52,0,0,78,43,10,83,0,-,78,42,10,52,0,-,Yu Neng Primary School,65.0,65.0,100.0,102.38095238095238,50.0,50.0,100.0,159.6153846153846,0,10,0,Yes,No,Yes,1,No,31
150,101,50,150,121,82,49,12,0,29,39,-,49,12,0,29,39,-,Yuhua Primary School,32.666666666666664,32.666666666666664,11.881188118811881,11.881188118811881,0.0,0.0,19.333333333333332,19.333333333333332,89,50,121,No,No,No,No,No,No
120,60,36,109,89,48,60,11,0,20,41,-,60,11,0,20,41,-,Yumin Primary School,50.0,50.0,18.333333333333332,18.333333333333332,0.0,0.0,18.34862385321101,18.34862385321101,49,36,89,No,No,No,No,No,No
