Name,CCA,Indicator
Canossa Catholic Primary School,Art and Crafts,1.0
Cantonment Primary School,Art and Crafts,
Casuarina Primary School,Art and Crafts,1.0
Catholic High School (Primary Section),Art and Crafts,
Cedar Primary School,Art and Crafts,1.0
Changkat Primary School,Art and Crafts,1.0
Chongfu School,Art and Crafts,1.0
Chongzheng Primary School,Art and Crafts,1.0
Chua Chu Kang Primary School,Art and Crafts,1.0
Clementi Primary School,Art and Crafts,1.0
Compassvale Primary School,Art and Crafts,1.0
Concord Primary School,Art and Crafts,
Corporation Primary School,Art and Crafts,1.0
Damai Primary School,Art and Crafts,1.0
Dazhong Primary School,Art and Crafts,
De La Salle School,Art and Crafts,1.0
East Spring Primary School,Art and Crafts,1.0
Edgefield Primary School,Art and Crafts,1.0
Elias Park Primary School,Art and Crafts,
Endeavour Primary School,Art and Crafts,1.0
Evergreen Primary School,Art and Crafts,
Fairfield Methodist School (Primary),Art and Crafts,1.0
Farrer Park Primary School,Art and Crafts,
Fengshan Primary School,Art and Crafts,1.0
Fern Green Primary School,Art and Crafts,1.0
Fernvale Primary School,Art and Crafts,1.0
First Toa Payoh Primary School,Art and Crafts,
Frontier Primary School,Art and Crafts,1.0
Fuchun Primary School,Art and Crafts,1.0
Fuhua Primary School,Art and Crafts,1.0
Gan Eng Seng Primary School,Art and Crafts,1.0
Geylang Methodist School (Primary),Art and Crafts,1.0
Gongshang Primary School,Art and Crafts,1.0
Greendale Primary School,Art and Crafts,
Greenridge Primary School,Art and Crafts,1.0
Greenwood Primary School,Art and Crafts,1.0
Haig Girls' School,Art and Crafts,1.0
Henry Park Primary School,Art and Crafts,1.0
Holy Innocents' Primary School,Art and Crafts,1.0
Hong Wen School,Art and Crafts,1.0
Horizon Primary School,Art and Crafts,1.0
Hougang Primary School,Art and Crafts,1.0
Huamin Primary School,Art and Crafts,1.0
Innova Primary School,Art and Crafts,1.0
Jiemin Primary School,Art and Crafts,1.0
Jing Shan Primary School,Art and Crafts,1.0
Junyuan Primary School,Art and Crafts,1.0
Jurong Primary School,Art and Crafts,1.0
Jurong West Primary School,Art and Crafts,1.0
Keming Primary School,Art and Crafts,1.0
Kheng Cheng School,Art and Crafts,1.0
Kong Hwa School,Art and Crafts,1.0
Kranji Primary School,Art and Crafts,1.0
Kuo Chuan Presbyterian Primary School,Art and Crafts,1.0
Lakeside Primary School,Art and Crafts,1.0
Lianhua Primary School,Art and Crafts,1.0
Maha Bodhi School,Art and Crafts,1.0
Maris Stella High School (Primary Section),Art and Crafts,1.0
Marsiling Primary School,Art and Crafts,1.0
Marymount Convent School,Art and Crafts,1.0
Mayflower Primary School,Art and Crafts,1.0
Mee Toh School,Art and Crafts,1.0
Meridian Primary School,Art and Crafts,
Methodist Girls' School (Primary),Art and Crafts,1.0
Montfort Junior School,Art and Crafts,1.0
Nan Chiau Primary School,Art and Crafts,1.0
Nan Hua Primary School,Art and Crafts,
Nanyang Primary School,Art and Crafts,1.0
Naval Base Primary School,Art and Crafts,1.0
New Town Primary School,Art and Crafts,1.0
Ngee Ann Primary School,Art and Crafts,1.0
North Spring Primary School,Art and Crafts,1.0
North View Primary School,Art and Crafts,1.0
North Vista Primary School,Art and Crafts,1.0
Northland Primary School,Art and Crafts,1.0
Northoaks Primary School,Art and Crafts,
