School_Name,Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken
West Spring,180,57,20,62,0,0,123,72,0,106,0,-,123,57,0,62,0,-
West View,100,53,28,84,49,23,47,29,0,35,26,-,47,29,0,35,26,-
Westwood,180,74,20,49,0,0,106,103,11,80,0,-,106,74,11,49,0,-
White Sands,120,56,35,92,0,0,64,10,14,112,0,-,64,10,14,92,0,-
Woodgrove,120,34,25,71,0,0,87,18,5,104,0,-,87,18,5,71,0,-
Woodlands,150,59,31,80,0,0,91,26,13,112,0,-,91,26,13,80,0,-
Woodlands Ring,180,101,47,141,75,39,79,20,0,66,36,-,79,20,0,66,36,-
Xinghua,220,181,77,232,197,158,39,10,0,35,39,-,39,10,0,35,39,-
Xingnan,240,153,63,187,123,90,87,25,1,64,33,-,87,25,1,64,33,-
Xinmin,150,72,24,50,0,0,79,60,32,78,0,-,79,60,24,50,0,-
Xishan,130,61,37,110,51,0,69,10,1,59,76,-,69,10,1,59,51,-
Yangzheng,100,33,22,58,0,0,68,29,9,101,0,-,68,29,9,58,0,-
Yew Tee,150,83,46,138,78,46,67,4,1,60,32,-,67,4,1,60,32,-
Yio Chu Kang,140,85,47,141,105,12,55,5,0,36,93,-,55,5,0,36,93,-
Yishun,120,55,33,100,58,0,65,15,0,42,58,-,65,15,0,42,58,-
Yu Neng,120,42,20,52,0,0,78,43,10,83,0,-,78,42,10,52,0,-
Yuhua,150,101,50,150,121,82,49,12,0,29,39,-,49,12,0,29,39,-
Yumin,120,60,36,109,89,48,60,11,0,20,41,-,60,11,0,20,41,-
Zhangde,120,45,31,93,1,0,75,11,1,92,8,-,75,11,1,92,1,-
Zhenghua,180,89,30,90,23,0,91,59,0,68,25,-,91,59,0,68,23,-
Zhonghua,90,62,39,115,108,78,28,6,1,7,30,-,28,6,1,7,30,-
Valour,220,115,33,96,0,0,105,77,2,120,0,-,105,77,2,96,0,-
Northshore,180,147,59,175,100,13,33,31,1,75,87,-,33,31,1,75,87,-
